Assembly Mass Properties
Property,Value
Mass (kg),248.961439
Center of Mass (mm),"(-16.4573, 730.0394, 770.5182)"
Moment of Inertia (kg*mm^2),"(Ixx=2647855302987.7412, Iyy=663490898284.1085, Izz=2706047379672.5254)"

Individual Object Properties
Name,Coordinates (mm),Mass (kg),Center of Mass (mm),"Moment of Inertia (kg*mm^2, Ixx, Iyy, Izz, Ixy, Ixz, Iyz)"
Part-1,"(-235.0167, 730.0411, 913.5014)",11.205723,"(-235.0167, 730.0411, 826.3278)","(240036584440.1501, 25602560612.6299, 214449250288.4229, -0.0002, -0.0001, -0.0002)"
Part-2,"(90.4833, 730.0411, 913.5014)",11.205724,"(90.4833, 730.0411, 826.3278)","(240036617530.5575, 25602562489.1074, 214449281503.5850, -0.0002, 0.0001, -0.0137)"
Part-3,"(339.5383, 730.0411, 913.5014)",11.205723,"(339.5383, 730.0411, 826.3278)","(240036584462.6794, 25602560614.5508, 214449250309.0352, 0.0005, 0.0002, -0.0001)"
Part-4,"(52.4833, 998.0411, 731.6680)",3.680080,"(52.4833, 998.0411, 731.6680)","(393166933.3333, 13806003733.3330, 13417837333.3335, 0.0000, -0.0000, -0.0000)"
Part-5,"(52.4833, 462.0411, 731.6680)",3.680080,"(52.4833, 462.0411, 731.6680)","(393166933.3333, 13806003733.3320, 13417837333.3330, 0.0000, -0.0000, 0.0000)"
Part-6,"(52.4833, 228.0411, 966.0870)",2.208048,"(52.4833, 228.0411, 966.0870)","(85884160.0000, 8050702400.0002, 8133586240.0000, -0.0001, -0.0000, 0.0000)"
Part-7,"(52.4833, 1232.0411, 966.0870)",2.208048,"(52.4833, 1232.0411, 966.0870)","(85884160.0000, 8050702400.0002, 8133586240.0000, -0.0001, 0.0000, -0.0000)"
Part-8,"(19.1500, 730.0411, 909.5014)",64.218246,"(19.1290, 730.0369, 788.8743)","(1678434678593.9656, 366024576192.1719, 1680114927088.9766, 1013914.8438, -12344715.5054, 3867283.9841)"
Part-9,"(47.4108, 730.0411, 913.5014)",11.026859,"(88.2291, 730.0411, 849.5889)","(18616670258.9478, 60098566467.1895, 41496879626.3457, 0.0001, -10703125815.9540, 0.0000)"
Part-10,"(312.1500, 730.0411, 909.5014)",8.244178,"(312.1496, 730.0228, 788.8684)","(215457899315.7895, 23774892834.0371, 192460973210.6201, 255766.3428, -5046.5413, 226530.0061)"
Part-11,"(344.6108, 730.0411, 913.5014)",0.050811,"(344.6108, 730.0411, 913.5014)","(115998150.5883, 115965271.5425, 36164.0120, 0.0000, -0.0000, 0.0000)"
Part-12,"(-97.4167, 784.0411, 694.1680)",5.001163,"(-97.4167, 784.0411, 694.1680)","(589741114.7391, 3872963425.7495, 4396340909.1821, -6.6658, 5.2188, -0.7716)"
Part-13,"(-97.4167, 924.0411, 694.1680)",5.001163,"(-97.4167, 924.0411, 694.1680)","(589741114.7393, 3872963425.7497, 4396340909.1821, -6.6657, 5.2188, -0.7714)"
Part-14,"(-97.4167, 1064.0411, 694.1680)",5.001163,"(-97.4167, 1064.0411, 694.1680)","(589741114.7396, 3872963425.7496, 4396340909.1823, -6.6657, 5.2188, -0.7714)"
Part-15,"(-97.4167, 784.0411, 719.1680)",5.001163,"(-97.4167, 784.0411, 719.1680)","(589741114.7390, 3872963425.7496, 4396340909.1819, -6.6656, 5.2187, -0.7717)"
Part-16,"(-97.4167, 784.0411, 744.1680)",5.001163,"(-97.4167, 784.0411, 744.1680)","(589741114.7393, 3872963425.7497, 4396340909.1821, -6.6656, 5.2187, -0.7716)"
Part-17,"(-97.4167, 784.0411, 769.1680)",5.001163,"(-97.4167, 784.0411, 769.1680)","(589741114.7391, 3872963425.7496, 4396340909.1821, -6.6658, 5.2188, -0.7716)"
Part-18,"(-97.4167, 924.0411, 719.1680)",5.001163,"(-97.4167, 924.0411, 719.1680)","(589741114.7396, 3872963425.7498, 4396340909.1821, -6.6657, 5.2188, -0.7715)"
Part-19,"(-97.4167, 924.0411, 744.1680)",5.001163,"(-97.4167, 924.0411, 744.1680)","(589741114.7395, 3872963425.7498, 4396340909.1821, -6.6657, 5.2188, -0.7714)"
Part-20,"(-97.4167, 924.0411, 769.1680)",5.001163,"(-97.4167, 924.0411, 769.1680)","(589741114.7394, 3872963425.7496, 4396340909.1821, -6.6657, 5.2188, -0.7715)"
Part-21,"(-97.4167, 1064.0411, 719.1680)",5.001163,"(-97.4167, 1064.0411, 719.1680)","(589741114.7397, 3872963425.7498, 4396340909.1823, -6.6657, 5.2188, -0.7715)"
Part-22,"(-97.4167, 1064.0411, 744.1680)",5.001163,"(-97.4167, 1064.0411, 744.1680)","(589741114.7395, 3872963425.7496, 4396340909.1824, -6.6657, 5.2188, -0.7714)"
Part-23,"(-97.4167, 1064.0411, 769.1680)",5.001163,"(-97.4167, 1064.0411, 769.1680)","(589741114.7397, 3872963425.7498, 4396340909.1823, -6.6657, 5.2188, -0.7714)"
Part-24,"(-97.4167, 676.0411, 769.1680)",5.001163,"(-97.4167, 676.0411, 769.1680)","(589741114.7395, 3872963425.7497, 4396340909.1823, 6.6657, -5.2187, -0.7715)"
Part-25,"(-97.4167, 676.0411, 744.1680)",5.001163,"(-97.4167, 676.0411, 744.1680)","(589741114.7396, 3872963425.7496, 4396340909.1823, 6.6657, -5.2187, -0.7716)"
Part-26,"(-97.4167, 676.0411, 719.1680)",5.001163,"(-97.4167, 676.0411, 719.1680)","(589741114.7394, 3872963425.7496, 4396340909.1821, 6.6657, -5.2187, -0.7716)"
Part-27,"(-97.4167, 676.0411, 694.1680)",5.001163,"(-97.4167, 676.0411, 694.1680)","(589741114.7396, 3872963425.7496, 4396340909.1823, 6.6657, -5.2187, -0.7716)"
Part-28,"(-97.4167, 536.0411, 769.1680)",5.001163,"(-97.4167, 536.0411, 769.1680)","(589741114.7391, 3872963425.7495, 4396340909.1820, 6.6658, -5.2188, -0.7717)"
Part-29,"(-97.4167, 536.0411, 744.1680)",5.001163,"(-97.4167, 536.0411, 744.1680)","(589741114.7394, 3872963425.7497, 4396340909.1821, 6.6657, -5.2188, -0.7717)"
Part-30,"(-97.4167, 536.0411, 719.1680)",5.001163,"(-97.4167, 536.0411, 719.1680)","(589741114.7390, 3872963425.7496, 4396340909.1820, 6.6657, -5.2188, -0.7718)"
Part-31,"(-97.4167, 536.0411, 694.1680)",5.001163,"(-97.4167, 536.0411, 694.1680)","(589741114.7393, 3872963425.7497, 4396340909.1821, 6.6657, -5.2188, -0.7717)"
Part-32,"(-97.4167, 396.0411, 769.1680)",5.001163,"(-97.4167, 396.0411, 769.1680)","(589741114.7394, 3872963425.7496, 4396340909.1819, 6.6657, -5.2187, -0.7717)"
Part-33,"(-97.4167, 396.0411, 744.1680)",5.001163,"(-97.4167, 396.0411, 744.1680)","(589741114.7395, 3872963425.7498, 4396340909.1820, 6.6657, -5.2187, -0.7716)"
Part-34,"(-97.4167, 396.0411, 719.1680)",5.001163,"(-97.4167, 396.0411, 719.1680)","(589741114.7395, 3872963425.7498, 4396340909.1821, 6.6658, -5.2188, -0.7716)"
Part-35,"(-97.4167, 396.0411, 694.1680)",5.001163,"(-97.4167, 396.0411, 694.1680)","(589741114.7395, 3872963425.7498, 4396340909.1819, 6.6657, -5.2187, -0.7716)"
