Property,InitialValue,TargetValue
Mass (kg),128.93352000000002,248.96143199999997
COG_x (mm),58.910012831180744,-16.457359457030677
COG_y (mm),730.0378379693767,730.0394106415831
COG_z (mm),806.6850025355043,770.5182191646751
MOI_Ixx (kg*mm^2),2633693134939.3447,2647846921693.089
MOI_Iyy (kg*mm^2),570535096747.8944,663486218965.8868
MOI_Izz (kg*mm^2),2600523445337.664,2706035627158.0356
MOI_Ixy (kg*mm^2),1269681.1866000001,1269681.1868000003
MOI_Ixz (kg*mm^2),-10715475578.0005,-10715475578.000004
MOI_Iyz (kg*mm^2),4093813.9762,4093795.4585
